station,YYYY-MM-DD,daily_rain,daily_rain_source,max_temp,max_temp_source,min_temp,min_temp_source,vp,vp_source,vp_deficit,vp_deficit_source,evap_pan,evap_pan_source,evap_syn,evap_syn_source,evap_comb,evap_comb_source,evap_morton_lake,evap_morton_lake_source,radiation,radiation_source,rh_tmax,rh_tmax_source,rh_tmin,rh_tmin_source,et_short_crop,et_short_crop_source,et_tall_crop,et_tall_crop_source,et_morton_actual,et_morton_actual_source,et_morton_potential,et_morton_potential_source,et_morton_wet,et_morton_wet_source,mslp,mslp_source,metadata
66098,2010-02-10,    0.0,0, 29.3,25, 21.0,25, 23.7,25, 12.4,26,  6.5,25,  6.5,26,  6.5,25, 7.7,26, 28.1,42, 58.2,26, 95.3,26,  5.6,26,  6.5,26, 7.1,26, 8.0,26, 7.5,26,1020.6,25,""
66098,2010-02-11,    0.0,0, 28.8,25, 20.7,25, 23.1,25, 12.1,26,  6.4,25,  6.1,26,  6.4,25, 6.9,26, 25.9,42, 58.3,26, 94.7,26,  5.2,26,  6.1,26, 6.3,26, 7.4,26, 6.8,26,1017.1,25,""
66098,2010-02-12,    0.0,0, 37.4,25, 23.2,25, 24.5,25, 28.3,26,  7.6,25,  7.4,26,  7.6,25, 6.4,26, 20.6,42, 38.2,26, 86.2,26,  6.0,26,  7.8,26, 3.5,26, 9.2,26, 6.3,26,1008.5,25,""
66098,2010-02-13,   36.8,0, 25.2,25, 21.3,25, 24.4,25,  5.8,26,  2.7,25,  2.3,26,  2.7,25, 1.7,26,  5.4,42, 76.1,26, 96.4,26,  1.8,26,  2.2,26, 1.2,26, 2.1,26, 1.7,26,1012.3,25,""
66098,2010-02-14,    9.6,0, 26.5,25, 21.7,25, 26.7,25,  5.5,26,  3.1,25,  2.3,26,  3.1,25, 1.6,26,  5.5,42, 77.1,26,100.0,26,  1.7,26,  2.0,26, 1.4,26, 1.9,26, 1.6,26,1007.4,25,""
66098,2010-02-15,   12.2,0, 29.9,25, 20.1,25, 24.0,25, 12.6,26,  6.7,25,  5.7,26,  6.7,25, 6.0,26, 22.0,42, 56.9,26,100.0,26,  4.7,26,  5.5,26, 5.3,26, 6.5,26, 5.9,26,1006.5,25,""
66098,2010-02-16,    0.0,0, 24.3,25, 21.1,25, 17.6,25, 11.3,26,  5.5,25,  5.2,26,  5.5,25, 5.1,26, 20.6,42, 58.0,26, 70.4,26,  4.5,26,  5.5,26, 3.4,26, 6.7,26, 5.1,26,1011.9,25,""
66098,2010-02-17,    0.0,0, 24.0,25, 18.4,25, 16.4,25, 11.0,26,  6.1,25,  5.9,26,  6.1,25, 6.1,26, 25.6,42, 55.0,26, 77.5,26,  4.9,26,  5.8,26, 4.7,26, 7.2,26, 6.0,26,1016.8,25,""
66098,2010-02-18,    0.0,0, 24.4,25, 19.3,25, 16.2,25, 12.1,26,  5.6,25,  5.5,26,  5.6,25, 5.3,26, 21.9,42, 53.0,26, 72.4,26,  4.6,26,  5.7,26, 3.4,26, 7.0,26, 5.2,26,1022.6,25,""
66098,2010-02-19,    0.0,0, 25.0,25, 20.1,25, 16.7,25, 12.7,26,  4.4,25,  5.5,26,  4.4,25, 5.3,26, 21.7,42, 52.7,26, 71.0,26,  4.7,26,  5.8,26, 3.3,26, 7.1,26, 5.2,26,1024.9,25,""
