station,YYYY-MM-DD,daily_rain,daily_rain_source,max_temp,max_temp_source,min_temp,min_temp_source,vp,vp_source,vp_deficit,vp_deficit_source,evap_pan,evap_pan_source,evap_syn,evap_syn_source,evap_comb,evap_comb_source,evap_morton_lake,evap_morton_lake_source,radiation,radiation_source,rh_tmax,rh_tmax_source,rh_tmin,rh_tmin_source,et_short_crop,et_short_crop_source,et_tall_crop,et_tall_crop_source,et_morton_actual,et_morton_actual_source,et_morton_potential,et_morton_potential_source,et_morton_wet,et_morton_wet_source,mslp,mslp_source,metadata
86304,2010-03-02,    0.2,0, 22.3,25, 11.8,25, 12.0,25, 10.9,26,  4.5,25,  4.5,26,  4.5,25, 4.5,26, 21.8,42, 44.6,26, 86.8,26,  4.0,26,  5.0,26, 3.0,26, 6.0,26, 4.5,26,1022.5,25,""
86304,2010-03-03,    0.0,0, 27.2,25, 13.7,25, 14.0,25, 15.5,26,  5.2,25,  5.5,26,  5.2,25, 5.7,26, 24.7,42, 38.8,26, 89.4,26,  4.9,26,  6.2,26, 3.7,26, 7.4,26, 5.6,26,1019.9,25,""
86304,2010-03-04,    0.0,0, 31.5,25, 14.5,25, 15.5,25, 20.7,26,  5.2,25,  5.7,26,  5.2,25, 4.4,26, 18.2,42, 33.5,26, 93.9,26,  4.8,26,  6.5,26, 1.7,26, 7.0,26, 4.4,26,1012.8,25,""
86304,2010-03-05,    0.0,0, 27.8,25, 19.6,25, 16.8,25, 16.3,26,  3.0,25,  3.7,26,  3.0,25, 2.5,26,  8.2,42, 45.0,26, 73.7,26,  3.3,26,  4.7,26, 0.4,26, 4.7,26, 2.5,26,1006.8,25,""
86304,2010-03-06,    0.2,15, 26.7,25, 18.2,25, 21.3,25,  9.6,26,  4.4,25,  3.0,26,  4.4,25, 3.0,26, 10.0,42, 60.8,26,100.0,26,  2.6,26,  3.3,26, 2.2,26, 3.8,26, 3.0,26,1009.6,25,""
86304,2010-03-07,   28.3,15, 27.6,25, 17.5,25, 19.8,25, 12.0,26,  3.3,25,  3.1,26,  3.3,25, 2.5,26,  8.0,42, 53.6,26, 99.1,26,  2.7,26,  3.6,26, 1.1,26, 3.9,26, 2.5,26,1013.9,25,""
86304,2010-03-08,   24.9,15, 22.8,25, 16.3,25, 18.7,25,  6.4,26,  3.6,25,  2.7,26,  3.6,25, 3.2,26, 12.2,42, 67.4,26,100.0,26,  2.5,26,  3.0,26, 2.8,26, 3.5,26, 3.2,26,1006.1,25,""
86304,2010-03-09,    5.7,15, 20.1,25, 15.6,25, 13.4,25,  8.5,26,  4.4,25,  3.2,26,  4.4,25, 3.0,26, 13.8,42, 57.0,26, 75.7,26,  3.0,26,  3.9,26, 1.4,26, 4.5,26, 2.9,26,1013.2,25,""
86304,2010-03-10,    0.0,0, 19.3,25, 13.0,25, 10.7,25,  9.6,26,  2.8,25,  3.6,26,  2.8,25, 3.1,26, 15.6,42, 47.8,26, 71.5,26,  3.2,26,  4.3,26, 1.1,26, 5.0,26, 3.1,26,1026.4,25,""
86304,2010-03-11,    0.0,0, 21.7,25, 11.3,25, 12.5,25,  9.6,26,  4.3,25,  4.3,26,  4.3,25, 4.5,26, 21.9,42, 48.2,26, 93.4,26,  3.7,26,  4.6,26, 3.3,26, 5.5,26, 4.4,26,1033.9,25,""
86304,2010-03-12,    0.0,0, 25.0,25,  9.2,25, 13.3,25, 11.6,26,  3.8,25,  4.9,26,  3.8,25, 5.0,26, 23.7,42, 42.0,26,100.0,26,  4.1,26,  5.1,26, 4.1,26, 5.9,26, 5.0,26,1037.4,25,""
86304,2010-03-13,    0.3,15, 26.8,25, 10.3,25, 14.8,25, 12.7,26,  4.7,25,  5.1,26,  4.7,25, 5.2,26, 23.4,42, 42.0,26,100.0,26,  4.2,26,  5.3,26, 4.2,26, 6.0,26, 5.1,26,1035.3,25,""
86304,2010-03-14,    0.3,15, 27.8,25, 11.2,25, 14.5,25, 14.7,26,  4.9,25,  5.3,26,  4.9,25, 5.0,26, 22.7,42, 38.8,26,100.0,26,  4.4,26,  5.7,26, 3.6,26, 6.4,26, 5.0,26,1029.6,25,""
86304,2010-03-15,    0.3,15, 29.4,25, 12.5,25, 13.6,25, 18.4,26,  5.1,25,  5.8,26,  5.1,25, 5.1,26, 22.6,42, 33.2,26, 93.9,26,  4.8,26,  6.4,26, 2.7,26, 7.4,26, 5.1,26,1024.2,25,""
86304,2010-03-16,    0.0,0, 31.8,25, 17.3,25, 12.9,25, 25.3,26,  6.7,25,  6.6,26,  6.7,25, 5.3,26, 21.9,42, 27.4,26, 65.4,26,  5.5,26,  7.5,26, 1.2,26, 9.3,26, 5.2,26,1021.7,25,""
86304,2010-03-17,    0.0,0, 33.0,25, 18.0,25, 13.1,25, 27.5,26,  6.2,25,  6.4,26,  6.2,25, 4.2,26, 17.0,42, 26.0,26, 63.5,26,  5.2,26,  7.4,26, 0.2,26, 8.2,26, 4.2,26,1022.2,25,""
86304,2010-03-18,    0.0,0, 31.7,25, 19.4,25, 18.0,25, 21.2,26,  5.6,25,  4.7,26,  5.6,25, 3.1,26, 10.3,42, 38.5,26, 79.9,26,  3.9,26,  5.5,26, 0.4,26, 5.8,26, 3.1,26,1023.4,25,""
86304,2010-03-19,    0.0,0, 28.3,25, 21.0,25, 14.9,25, 19.7,26,  3.4,25,  4.6,26,  3.4,25, 3.3,26, 12.6,42, 38.7,26, 59.9,26,  4.1,26,  5.8,26, 0.3,26, 6.3,26, 3.3,26,1016.7,25,""
86304,2010-03-20,    0.0,0, 25.2,25, 16.8,25, 16.3,25, 12.0,26,  4.2,25,  4.4,26,  4.2,25, 4.5,26, 19.8,42, 50.9,26, 85.2,26,  3.9,26,  4.9,26, 2.9,26, 6.0,26, 4.4,26,1020.8,25,""
86304,2010-03-21,    0.0,0, 23.8,25, 15.7,25, 12.9,25, 13.2,26,  4.9,25,  3.8,26,  4.9,25, 3.0,26, 13.5,42, 43.8,26, 72.4,26,  3.4,26,  4.7,26, 0.5,26, 5.4,26, 3.0,26,1019.4,25,""
86304,2010-03-22,    0.0,0, 21.1,25, 12.6,25, 11.0,25, 10.9,26,  4.0,25,  4.2,26,  4.0,25, 3.9,26, 19.7,42, 44.0,26, 75.4,26,  3.6,26,  4.7,26, 1.9,26, 5.8,26, 3.9,26,1023.1,25,""
86304,2010-03-23,    0.0,0, 22.6,25, 12.2,25, 11.8,25, 11.6,26,  3.1,25,  3.9,26,  3.1,25, 3.1,26, 15.3,42, 43.0,26, 83.1,26,  3.3,26,  4.4,26, 1.0,26, 5.0,26, 3.0,26,1023.4,25,""
86304,2010-03-24,    0.0,0, 22.5,25, 15.3,25, 16.2,25,  8.2,26,  3.2,25,  3.3,26,  3.2,25, 3.3,26, 15.3,42, 59.5,26, 93.2,26,  2.9,26,  3.6,26, 2.3,26, 4.2,26, 3.2,26,1024.7,25,""
86304,2010-03-25,    0.0,0, 30.5,25, 11.3,25, 15.5,25, 17.5,26,  5.4,25,  5.5,26,  5.4,25, 4.4,26, 19.7,42, 35.5,26,100.0,26,  4.3,26,  5.8,26, 2.6,26, 6.1,26, 4.4,26,1020.3,25,""
86304,2010-03-26,    0.0,0, 29.3,25, 14.1,25, 12.3,25, 20.3,26,  4.3,25,  5.0,26,  4.3,25, 3.1,26, 13.9,42, 30.2,26, 76.5,26,  4.1,26,  5.9,26, 0.3,26, 6.0,26, 3.1,26,1016.7,25,""
86304,2010-03-27,    0.0,0, 22.5,25, 16.5,25, 15.1,25,  9.8,26,  3.1,25,  2.8,26,  3.1,25, 2.1,26,  9.0,42, 55.4,26, 80.5,26,  2.6,26,  3.5,26, 0.5,26, 3.7,26, 2.1,26,1021.5,25,""
86304,2010-03-28,    0.0,0, 27.4,25, 16.7,25, 15.5,25, 15.7,26,  3.1,25,  3.1,26,  3.1,25, 1.5,26,  3.8,42, 42.5,26, 81.6,26,  2.7,26,  4.0,26, 0.3,26, 2.9,26, 1.6,26,1012.5,25,""
86304,2010-03-29,    5.2,15, 22.2,25, 17.6,25, 20.0,25,  4.9,26,  3.0,25,  2.3,26,  3.0,25, 2.8,26, 10.4,42, 74.8,26, 99.4,26,  2.0,26,  2.4,26, 2.7,26, 3.0,26, 2.8,26,1013.8,25,""
86304,2010-03-30,    1.2,15, 21.3,25, 12.3,25, 14.3,25,  7.7,26,  3.2,25,  2.7,26,  3.2,25, 2.0,26,  9.9,42, 56.5,26,100.0,26,  2.2,26,  2.9,26, 1.0,26, 3.0,26, 2.0,26,1022.8,25,""
86304,2010-03-31,    0.0,0, 22.8,25, 11.0,25, 13.1,25, 10.1,26,  2.2,25,  3.8,26,  2.2,25, 3.2,26, 16.4,42, 47.2,26, 99.9,26,  3.0,26,  3.9,26, 1.9,26, 4.4,26, 3.2,26,1023.0,25,""
